XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
346978,57118797;6633281,60508121;1363;0; ;NEW;3M;3N
349829,15871493;6632814,56622945;1364;0; ;NEW;3N;3O
351176,39706649;6633443,63519036;1365;0; ;NEW;3O;CI
351291,68835120;6633269,00096648;1366;0; ;NEW;3O;CH
349287,28124316;6630812,61850176;1367;0; ;NEW;3N;3P
345937,17226119;6631834,09378477;1368;0; ;NEW;3M;CE
348365,69142602;6628976,89893699;1369;0; ;NEW;CA;3P
350496,89327021;6629354,87257722;1370;0; ;NEW;3P;CF
346109,88356433;6636365,86044299;1371;0; ;NEW;3L;CJ
341545,55173082;6620545,70551528;1372;0; ;NEW;BT;3Q
344938,50960838;6620751,90905272;1373;0; ;NEW;B1;3Q
352304,14645333;6624888,66864062;1374;0; ;NEW;3Z;DK
351280,41914353;6625181,81862327;1375;0; ;NEW;33;3Z
352234,80053715;6625986,29104988;1376;0; ;NEW;DL;33
349536,69368895;6625234,75339069;1377;0; ;NEW;DA;33
351476,03306059;6624697,23994120;1378;0; ;NEW;3Z;30
350409,97041236;6624236,59968319;1379;0; ;NEW;DB;30
351995,14459216;6621572,88057610;1380;0; ;NEW;31;30
353403,47178134;6617991,41012859;1381;0; ;NEW;31;32
351965,70644309;6618378,16113810;1382;0; ;NEW;DD;31
351043,75181984;6618990,62458224;1383;0; ;NEW;DD;3T
349821,16710308;6620442,51420559;1384;0; ;NEW;DC;3T
348959,35533056;6618753,63107498;1385;0; ;NEW;3S;3T
346338,43203234;6617972,29622473;1386;0; ;NEW;3S;3R
344799,33999625;6618787,13250569;1387;0; ;NEW;3Q;3R
344968,48270474;6617637,31872043;1388;0; ;NEW;3R;BR
343049,45204083;6618137,31304136;1389;0; ;NEW;BQ;3V
340062,69518194;6618071,88020714;1390;0; ;NEW;3V;BU
337270,64097890;6617280,12169461;1391;0; ;NEW;3W;3X
337167,76191732;6618337,18824907;1392;0; ;NEW;BV;3X
336429,45210328;6618955,81880841;1393;0; ;NEW;3Y;3X
337108,26351969;6619594,18162293;1394;0; ;NEW;BV;3Y
335357,96302989;6620231,68056148;1395;0; ;NEW;B0;3Y
329719,68342908;6620148,71978961;1396;0; ;NEW;34;35
331630,67643658;6620337,17870795;1397;0; ;NEW;34;AD
328438,08935893;6619895,99974493;1398;0; ;NEW;AC;34
329839,90843701;6618242,66839430;1399;0; ;NEW;35;36
328221,13212287;6617589,82243813;1400;0; ;NEW;AC;4A
329614,06774625;6615393,87587651;1401;0; ;NEW;4A;4B
330422,23750236;6614428,21705692;1402;0; ;NEW;BG;4B
331322,55065482;6615426,66760292;1403;0; ;NEW;36;4C
326848,86658717;6614320,81856669;1404;0; ;NEW;BI;4A
331457,60142490;6613894,33224170;1405;0; ;NEW;BG;4C
332853,99271527;6614565,50586083;1406;0; ;NEW;4C;39
333986,81503286;6614958,32212990;1407;0; ;NEW;38;39
335978,19400937;6615588,41075949;1408;0; ;NEW;38;3W
339981,15512717;6616476,66361862;1409;0; ;NEW;3V;3W
338354,48725005;6615533,35335451;1410;0; ;NEW;3W;BO
332592,46869309;6618267,15492134;1411;0; ;NEW;35;38
333596,23371049;6613252,13046595;1412;0; ;NEW;BH;39
334121,82569485;6611227,12801438;1413;0; ;NEW;BH;WF
337732,87381237;6612237,22519790;1414;0; ;NEW;WF;BO
337263,74193952;6605884,35239878;1415;0; ;NEW;V1;4D
337171,81476831;6609029,77535395;1416;0; ;NEW;WF;4D
340110,01547975;6605070,56859745;1417;0; ;NEW;4D;EA
340204,95884447;6607873,45756625;1418;0; ;NEW;4D;4E
341517,33078657;6610286,89292484;1419;0; ;NEW;4E;4F
340151,21745959;6613215,88155010;1420;0; ;NEW;BO;4F
342205,83684923;6612139,46243926;1421;0; ;NEW;4F;BP
343561,29502294;6614437,11001587;1422;0; ;NEW;BP;4I
344281,09698129;6616576,33683670;1423;0; ;NEW;BQ;4I
344752,32655429;6615513,54213484;1424;0; ;NEW;4I;4J
345038,36076422;6616485,77716542;1425;0; ;NEW;4J;BR
346205,69951381;6614708,31395180;1426;0; ;NEW;4J;4H
345136,53505963;6612710,13101321;1427;0; ;NEW;BP;4H
347027,91234725;6613241,31437193;1428;0; ;NEW;4G;ED
346469,98265002;6612699,31472587;1429;0; ;NEW;4H;4G
346913,20188422;6609700,43678917;1430;0; ;NEW;4G;EB
344389,96185402;6610443,95747995;1431;0; ;NEW;4E;4G
348272,62973213;6614706,27026101;1432;0; ;NEW;ED;3U
350379,33282342;6616620,86733254;1433;0; ;NEW;3U;DE
348367,51476333;6616640,43789474;1434;0; ;NEW;3S;3U
349529,26800044;6613747,71764173;1435;0; ;NEW;ED;4K
352922,85783963;6611689,55766129;1436;0; ;NEW;4K;EF
352536,57792910;6613773,95022730;1437;0; ;NEW;4K;4L
353790,86134123;6615345,25825329;1438;0; ;NEW;DF;4L
